"iso","country","year","age","sex","educ","mys","adj_factor","samys"
124,"Canada",1970,0,0,0,10.53,0.966739426958138,10.1797661658692
124,"Canada",1975,0,0,0,11.11,0.983538226428195,10.9271096956172
124,"Canada",1980,0,0,0,11.64,0.998150295795549,11.6184694430602
124,"Canada",1985,0,0,0,12.09,1.00668949554674,12.1708760011601
124,"Canada",1990,0,0,0,12.49,1.01336902113964,12.6569790740341
124,"Canada",1995,0,0,0,12.82,1.02092065465889,13.088202792727
124,"Canada",2000,0,0,0,13.1,1.02524879500018,13.4307592145023
124,"Canada",2005,0,0,0,13.33,1.03018770256187,13.7324020751498
124,"Canada",2010,0,0,0,13.5,1.03600402309841,13.9860543118285
152,"Chile",1970,0,0,0,7.12,0.715478454725265,5.09420659764389
152,"Chile",1975,0,0,0,7.76,0.726671683511314,5.63897226404779
152,"Chile",1980,0,0,0,8.38,0.73745441989155,6.17986803869119
152,"Chile",1985,0,0,0,8.96,0.748242032077029,6.70424860741018
152,"Chile",1990,0,0,0,9.49,0.755082185368975,7.16572993915158
152,"Chile",1995,0,0,0,9.97,0.764305631586512,7.62012714691753
152,"Chile",2000,0,0,0,10.39,0.773735547396015,8.0391123374446
152,"Chile",2005,0,0,0,10.79,0.784583846564913,8.46565970443541
152,"Chile",2010,0,0,0,11.08,0.796152372712669,8.82136828965637
170,"Colombia",1970,0,0,0,3.79,0.62716806786296,2.37696697720062
170,"Colombia",1975,0,0,0,4.32,0.632700973199779,2.73326820422305
170,"Colombia",1980,0,0,0,4.91,0.642069965225029,3.15256352925489
170,"Colombia",1985,0,0,0,5.5,0.664342654517552,3.65388459984654
170,"Colombia",1990,0,0,0,6.04,0.695382304250909,4.20010911767549
170,"Colombia",1995,0,0,0,6.53,0.713577275464022,4.65965960878007
170,"Colombia",2000,0,0,0,7.03,0.722317746885994,5.07789376060854
170,"Colombia",2005,0,0,0,7.52,0.728305221251101,5.47685526380828
170,"Colombia",2010,0,0,0,7.96,0.723416069252401,5.75839191124912
196,"Cyprus",1970,0,0,0,6.55,1.00577261063072,6.58781059963123
196,"Cyprus",1975,0,0,0,7.64,1.01462562469695,7.75173977268468
196,"Cyprus",1980,0,0,0,8.73,1.02542443992576,8.9519553605519
196,"Cyprus",1985,0,0,0,9.64,1.0314188385179,9.94287760331259
196,"Cyprus",1990,0,0,0,10.47,1.03384309323992,10.824337186222
196,"Cyprus",1995,0,0,0,11.22,1.03520585521277,11.6150096954873
196,"Cyprus",2000,0,0,0,11.85,1.03265065706938,12.2369102862721
196,"Cyprus",2005,0,0,0,12.4,1.03108923647783,12.7855065323251
196,"Cyprus",2010,0,0,0,12.89,1.0309669916392,13.2891645222292
203,"Czech Republic",1970,0,0,0,10.52,1.01309226473573,10.6577306250199
203,"Czech Republic",1975,0,0,0,10.84,1.0213660324162,11.0716077913916
203,"Czech Republic",1980,0,0,0,11.15,1.02847453906249,11.4674911105467
203,"Czech Republic",1985,0,0,0,11.35,1.02728544154773,11.6596897615667
203,"Czech Republic",1990,0,0,0,11.57,1.02940691056579,11.9102379552461
203,"Czech Republic",1995,0,0,0,11.71,1.03128131382929,12.076304184941
203,"Czech Republic",2000,0,0,0,11.87,1.03474020678671,12.2823662545582
203,"Czech Republic",2005,0,0,0,12.12,1.03664887321467,12.5641843433618
203,"Czech Republic",2010,0,0,0,12.34,1.03870539802725,12.8176246116562
208,"Denmark",1970,0,0,0,10.49,0.956950562505748,10.0384114006853
208,"Denmark",1975,0,0,0,10.77,0.962874671779425,10.3701602150644
208,"Denmark",1980,0,0,0,11.02,0.972151754696017,10.7131123367501
208,"Denmark",1985,0,0,0,11.25,0.981547152940616,11.0424054705819
208,"Denmark",1990,0,0,0,11.47,0.98902814690794,11.3441528450341
208,"Denmark",1995,0,0,0,11.68,0.996047805327624,11.6338383662267
208,"Denmark",2000,0,0,0,11.86,1.00539693879317,11.9240076940869
208,"Denmark",2005,0,0,0,12.03,1.00879196934598,12.1357673912322
208,"Denmark",2010,0,0,0,12.12,1.01617957001247,12.3160963885511
218,"Ecuador",1970,0,0,0,4.2,0.683280818593682,2.86977943809347
218,"Ecuador",1975,0,0,0,4.79,0.692274657392479,3.31599560890998
218,"Ecuador",1980,0,0,0,5.48,0.706247451151597,3.87023603231075
218,"Ecuador",1985,0,0,0,6.22,0.70747501491574,4.40049459277591
218,"Ecuador",1990,0,0,0,6.94,0.715746073508855,4.96727775015145
218,"Ecuador",1995,0,0,0,7.58,0.72028494322798,5.45975986966809
218,"Ecuador",2000,0,0,0,8.12,0.720971748642191,5.85429059897459
218,"Ecuador",2005,0,0,0,8.59,0.7239406180233,6.21864990882014
218,"Ecuador",2010,0,0,0,9.04,0.724272006953693,6.54741894286138
233,"Estonia",1970,0,0,0,9.98,0.982400235700376,9.80435435228975
233,"Estonia",1975,0,0,0,10.81,0.997569703842436,10.7837284985367
233,"Estonia",1980,0,0,0,11.38,1.00946552614998,11.4877176875868
233,"Estonia",1985,0,0,0,11.79,1.01420451947577,11.9574712846193
233,"Estonia",1990,0,0,0,12.18,1.01909040434815,12.4125211249605
233,"Estonia",1995,0,0,0,12.46,1.02606079166662,12.7847174641661
233,"Estonia",2000,0,0,0,12.66,1.03057927360434,13.0471336038309
233,"Estonia",2005,0,0,0,12.76,1.0341015844696,13.1951362178321
233,"Estonia",2010,0,0,0,12.71,1.03328665826088,13.1330734264958
246,"Finland",1970,0,0,0,8.85,0.984054072342569,8.70887854023174
246,"Finland",1975,0,0,0,9.49,0.9912008182356,9.40649576505585
246,"Finland",1980,0,0,0,10.11,1.00105866662656,10.1207031195945
246,"Finland",1985,0,0,0,10.67,1.01139478884927,10.7915823970217
246,"Finland",1990,0,0,0,11.2,1.02320529437886,11.4598992970432
246,"Finland",1995,0,0,0,11.67,1.0372332426044,12.1045119411933
246,"Finland",2000,0,0,0,12.01,1.05066497175448,12.6184863107713
246,"Finland",2005,0,0,0,12.28,1.06022356416051,13.019545367891
246,"Finland",2010,0,0,0,12.45,1.07360684399447,13.3664052077311
250,"France",1970,0,0,0,7.97,0.917739471941262,7.31438359137186
250,"France",1975,0,0,0,8.5,0.931442679428669,7.91726277514369
250,"France",1980,0,0,0,9.03,0.940376764516002,8.4916021835795
250,"France",1985,0,0,0,9.48,0.946887354660086,8.97649212217762
250,"France",1990,0,0,0,10.01,0.955634884911069,9.5659051979598
250,"France",1995,0,0,0,10.49,0.963016026630496,10.1020381193539
250,"France",2000,0,0,0,10.92,0.972484765029082,10.6195336341176
250,"France",2005,0,0,0,11.3,0.981986530758173,11.0964477975674
250,"France",2010,0,0,0,11.62,0.990177065307155,11.5058574988691
268,"Georgia",1970,0,0,0,8.39,0.891542187786917,7.48003895553223
268,"Georgia",1975,0,0,0,9.28,0.886626481229424,8.22789374580905
268,"Georgia",1980,0,0,0,10.07,0.880201994877024,8.86363408841163
268,"Georgia",1985,0,0,0,10.67,0.878731673482727,9.3760669560607
268,"Georgia",1990,0,0,0,11.2,0.878172700345239,9.83553424386667
268,"Georgia",1995,0,0,0,11.64,0.880065309444103,10.2439602019294
268,"Georgia",2000,0,0,0,11.91,0.880644370750656,10.4884744556403
268,"Georgia",2005,0,0,0,12.09,0.881811021946209,10.6610952553297
268,"Georgia",2010,0,0,0,12.21,0.882554697614497,10.775992857873
276,"Germany",1970,0,0,0,11.94,0.955245052072583,11.4056259217466
276,"Germany",1975,0,0,0,12.17,0.959468650656618,11.676733478491
276,"Germany",1980,0,0,0,12.4,0.966174200621178,11.9805600877026
276,"Germany",1985,0,0,0,12.6,0.969265685044264,12.2127476315577
276,"Germany",1990,0,0,0,12.81,0.974795979975414,12.4871365034851
276,"Germany",1995,0,0,0,13.01,0.985753474472154,12.8246527028827
276,"Germany",2000,0,0,0,13.15,0.991406513302044,13.0369956499219
276,"Germany",2005,0,0,0,13.28,0.997815262568951,13.2509866869157
276,"Germany",2010,0,0,0,13.39,1.00756326616111,13.4912721338973
288,"Ghana",1970,0,0,0,3.13,0.371655409670179,1.16328143226766
288,"Ghana",1975,0,0,0,3.87,0.385628350382539,1.49238171598043
288,"Ghana",1980,0,0,0,4.55,0.361766459390474,1.64603739022666
288,"Ghana",1985,0,0,0,5.13,0.37114401086689,1.90396877574715
288,"Ghana",1990,0,0,0,5.59,0.378694822286353,2.11690405658071
288,"Ghana",1995,0,0,0,5.98,0.368428339906495,2.20320147264084
288,"Ghana",2000,0,0,0,6.38,0.338948309533392,2.16249021482304
288,"Ghana",2005,0,0,0,6.78,0.32001524082376,2.1697033327851
288,"Ghana",2010,0,0,0,7.1,0.301905681929004,2.14353034169593
300,"Greece",1970,0,0,0,6.42,0.96040588097589,6.16580575586521
300,"Greece",1975,0,0,0,7.08,0.96605601193592,6.83967656450631
300,"Greece",1980,0,0,0,7.78,0.970075762428407,7.54718943169301
300,"Greece",1985,0,0,0,8.45,0.97204544341302,8.21378399684002
300,"Greece",1990,0,0,0,9.11,0.97398180605643,8.87297425317408
300,"Greece",1995,0,0,0,9.84,0.976326998655329,9.60705766676844
300,"Greece",2000,0,0,0,10.48,0.9762093648293,10.2306741434111
300,"Greece",2005,0,0,0,10.99,0.97614902050982,10.7278777354029
300,"Greece",2010,0,0,0,11.38,0.969899106283743,11.037451829509
348,"Hungary",1970,0,0,0,8.15,0.829340137145247,6.75912211773376
348,"Hungary",1975,0,0,0,8.91,0.861506070147877,7.67601908501759
348,"Hungary",1980,0,0,0,9.65,0.891481004976406,8.60279169802232
348,"Hungary",1985,0,0,0,10.11,0.908403259734515,9.18395695591595
348,"Hungary",1990,0,0,0,10.62,0.931656169451381,9.89418851957366
348,"Hungary",1995,0,0,0,11.05,0.950945369410354,10.5079463319844
348,"Hungary",2000,0,0,0,11.41,0.965657602836918,11.0181532483692
348,"Hungary",2005,0,0,0,11.72,0.976368421066684,11.4430378949015
348,"Hungary",2010,0,0,0,11.93,0.985323816160372,11.7549131267932
372,"Ireland",1970,0,0,0,8.11,0.957798963569541,7.76774959454898
372,"Ireland",1975,0,0,0,8.53,0.970498665560712,8.27835361723288
372,"Ireland",1980,0,0,0,9.02,0.979644720701686,8.83639538072921
372,"Ireland",1985,0,0,0,9.5,0.98964520535801,9.4016294509011
372,"Ireland",1990,0,0,0,9.92,0.99104407537796,9.83115722774937
372,"Ireland",1995,0,0,0,10.35,0.996717072519584,10.3160217005777
372,"Ireland",2000,0,0,0,10.89,1.00381927755375,10.9315919325603
372,"Ireland",2005,0,0,0,11.62,1.01120617411587,11.7502157432264
372,"Ireland",2010,0,0,0,12.31,1.01490353923302,12.4934625679585
376,"Israel",1970,0,0,0,7.08,0.771540198021069,5.46250460198917
376,"Israel",1975,0,0,0,7.74,0.783752248456851,6.06624240305603
376,"Israel",1980,0,0,0,8.38,0.797999809684713,6.68723840515789
376,"Israel",1985,0,0,0,8.92,0.811027540162371,7.23436565824835
376,"Israel",1990,0,0,0,9.67,0.831036436494507,8.03612234090189
376,"Israel",1995,0,0,0,10.36,0.848993579866682,8.79557348741882
376,"Israel",2000,0,0,0,11.01,0.870367873219846,9.5827502841505
376,"Israel",2005,0,0,0,11.61,0.891286399520304,10.3478350984307
376,"Israel",2010,0,0,0,11.85,0.902487892652376,10.6944815279307
380,"Italy",1970,0,0,0,6.34,0.899640473155481,5.70372059980575
380,"Italy",1975,0,0,0,6.99,0.909084217808921,6.35449868248436
380,"Italy",1980,0,0,0,7.7,0.920051050721415,7.08439309055489
380,"Italy",1985,0,0,0,8.35,0.931063164398835,7.77437742273027
380,"Italy",1990,0,0,0,9.01,0.943065391612465,8.49701917842831
380,"Italy",1995,0,0,0,9.61,0.952405817856313,9.15261990959917
380,"Italy",2000,0,0,0,10.14,0.957944441813312,9.71355663998698
380,"Italy",2005,0,0,0,10.65,0.962190750995837,10.2473314981057
380,"Italy",2010,0,0,0,11.07,0.965543630063494,10.6885679848029
392,"Japan",1970,0,0,0,10.68,1.03835358956162,11.0896163365181
392,"Japan",1975,0,0,0,11.06,1.04245941416367,11.5296011206502
392,"Japan",1980,0,0,0,11.43,1.04942701430135,11.9949507734644
392,"Japan",1985,0,0,0,11.81,1.0589641907114,12.5063670923016
392,"Japan",1990,0,0,0,12.23,1.07120408592807,13.1008259709003
392,"Japan",1995,0,0,0,12.67,1.08657058593338,13.7668493237759
392,"Japan",2000,0,0,0,13.11,1.10054248133208,14.4281119302636
392,"Japan",2005,0,0,0,13.51,1.11287129201871,15.0348911551728
392,"Japan",2010,0,0,0,13.88,1.12430364326451,15.6053345685113
398,"Kazakhstan",1970,0,0,0,7.62,0.9861047148188,7.51411792691926
398,"Kazakhstan",1975,0,0,0,8.23,0.983301879746009,8.09257447030966
398,"Kazakhstan",1980,0,0,0,8.83,0.983415181036917,8.68355604855597
398,"Kazakhstan",1985,0,0,0,9.32,0.975766792910157,9.09414650992266
398,"Kazakhstan",1990,0,0,0,9.71,0.969253461843213,9.4114511144976
398,"Kazakhstan",1995,0,0,0,10.1,0.963416339801021,9.73050503199031
398,"Kazakhstan",2000,0,0,0,10.45,0.959335100247898,10.0250517975905
398,"Kazakhstan",2005,0,0,0,10.91,0.955071248129009,10.4198273170875
398,"Kazakhstan",2010,0,0,0,11.19,0.947781324197095,10.6056730177655
40,"Austria",1970,0,0,0,8.63,0.942263426758452,8.13173337292544
40,"Austria",1975,0,0,0,9.09,0.950261577918391,8.63787774327817
40,"Austria",1980,0,0,0,9.58,0.957921936597226,9.17689215260142
40,"Austria",1985,0,0,0,10.02,0.968484419864274,9.70421388704003
40,"Austria",1990,0,0,0,10.48,0.980392022077419,10.2745083913714
40,"Austria",1995,0,0,0,10.9,0.991328117146158,10.8054764768931
40,"Austria",2000,0,0,0,11.2,0.999373005941946,11.1929776665498
40,"Austria",2005,0,0,0,11.5,1.0052652343625,11.5605501951688
40,"Austria",2010,0,0,0,11.76,1.01461839263125,11.9319122973435
404,"Kenya",1970,0,0,0,2.51,0.308818071299296,0.775133358961233
404,"Kenya",1975,0,0,0,3.23,0.32308590432989,1.04356747098555
404,"Kenya",1980,0,0,0,4.02,0.313420542494269,1.25995058082696
404,"Kenya",1985,0,0,0,4.89,0.342614341906616,1.67538413192335
404,"Kenya",1990,0,0,0,5.76,0.378627842530245,2.18089637297421
404,"Kenya",1995,0,0,0,6.59,0.391422508950152,2.5794743339815
404,"Kenya",2000,0,0,0,7.08,0.410977297095203,2.90971926343403
404,"Kenya",2005,0,0,0,7.47,0.410970706547091,3.06995117790677
404,"Kenya",2010,0,0,0,7.67,0.410589247298513,3.14921952677959
410,"Republic of Korea",1970,0,0,0,6.02,0.925510763812937,5.57157479815388
410,"Republic of Korea",1975,0,0,0,7.09,0.939462243581464,6.66078730699258
410,"Republic of Korea",1980,0,0,0,8.19,0.956032945560728,7.82990982414236
410,"Republic of Korea",1985,0,0,0,9.18,0.964804703041145,8.85690717391771
410,"Republic of Korea",1990,0,0,0,10.06,0.976633983041185,9.82493786939432
410,"Republic of Korea",1995,0,0,0,10.78,0.987436104071128,10.6445612018868
410,"Republic of Korea",2000,0,0,0,11.4,1.00067600832735,11.4077064949318
410,"Republic of Korea",2005,0,0,0,11.96,1.01297132807979,12.1151370838343
410,"Republic of Korea",2010,0,0,0,12.5,1.02911459438421,12.8639324298026
440,"Lithuania",1970,0,0,0,8.69,1.02040155455597,8.86728950909134
440,"Lithuania",1975,0,0,0,9.68,1.02058582181891,9.87927075520704
440,"Lithuania",1980,0,0,0,10.56,1.00993754363069,10.66494046074
440,"Lithuania",1985,0,0,0,11.29,1.00616052190968,11.3595522923603
440,"Lithuania",1990,0,0,0,12,1.00631310426655,12.0757572511986
440,"Lithuania",1995,0,0,0,12.62,1.00812054476652,12.7224812749534
440,"Lithuania",2000,0,0,0,13.1,1.00906326697353,13.2187287973533
440,"Lithuania",2005,0,0,0,13.35,1.0071957021362,13.4460626235183
440,"Lithuania",2010,0,0,0,13.36,1.00905966036027,13.4810370624132
484,"Mexico",1970,0,0,0,3.73,0.734541649893482,2.73984035410269
484,"Mexico",1975,0,0,0,4.38,0.745303010294482,3.26442718508983
484,"Mexico",1980,0,0,0,5.09,0.762391439166826,3.88057242535914
484,"Mexico",1985,0,0,0,5.83,0.777655465662302,4.53373136481122
484,"Mexico",1990,0,0,0,6.59,0.790919607184518,5.21216021134597
484,"Mexico",1995,0,0,0,7.29,0.806731636418391,5.88107362949007
484,"Mexico",2000,0,0,0,7.83,0.815424401505167,6.38477306378546
484,"Mexico",2005,0,0,0,8.3,0.820731753303804,6.81207355242158
484,"Mexico",2010,0,0,0,8.75,0.825423478269729,7.22245543486013
51,"Armenia",1970,0,0,0,7.7,0.952252019923123,7.33234055340805
