"iso","year","illiterate_prop"
4,1970,87.108177
4,1975,81.842316
4,1980,80.280991
4,1985,75.886818
4,1990,70.925781
4,1995,65.703362
4,2000,60.293983
4,2005,54.29303
4,2010,68.258881
4,2015,56.980282
8,1970,45.361618
8,1975,37.975117
8,1980,31.633141
8,1985,26.108137
8,1990,21.345938
8,1995,17.43873
8,2000,1.2870178
8,2005,4.0613632
8,2010,2.9538651
8,2015,1.8588486
12,1970,73.225815
12,1975,66.041801
12,1980,58.09679
12,1985,50.369122
12,1990,42.782051
12,1995,35.962315
12,2000,30.126503
12,2005,26.107635
12,2010,21.009813
12,2015,18.592163
16,1970,34.288975
16,1975,15.934054
16,1980,2.655838
16,1985,25.695402
16,1990,2.0556717
16,1995,11.148297
16,2000,19.134161
16,2005,9.0628624
16,2010,0.82060623
16,2015,0.74493027
24,1970,71.674934
24,1975,66.826813
24,1980,56.009636
24,1985,52.062386
24,1990,42.994389
24,1995,42.035908
24,2000,32.594582
24,2005,31.799746
24,2010,33.969887
24,2015,29.08198
28,1970,17.808514
28,1975,21.10346
28,1980,13.758053
28,1985,16.747963
28,1990,10.757634
28,1995,13.912856
28,2000,1.0500031
28,2005,9.9192209
28,2010,1.0500031
28,2015,1.0500031
31,1970,47.610863
31,1975,42.94355
31,1980,37.220085
31,1985,29.239998
31,1990,26.760311
31,1995,1.2081985
31,2000,14.300962
31,2005,0.31912231
31,2010,0.2192215
31,2015,0.21021526
32,1970,6.7430353
32,1975,6.0528488
32,1980,6.0871429
32,1985,4.6564274
32,1990,3.8718033
32,1995,3.456527
32,2000,2.8066864
32,2005,1.2028885
32,2010,0.9431259
32,2015,0.89705402
36,1970,1.6087557
36,1975,1.1971706
36,1980,0.79552633
36,1985,0.53177327
36,1990,0.37593016
36,1995,0.29987678
36,2000,0.25392306
36,2005,0.2239619
36,2010,0.2075292
36,2015,0.2007187
40,1970,1.6087557
40,1975,1.1971706
40,1980,0.79552633
40,1985,0.53177327
40,1990,0.37593016
40,1995,0.29987678
40,2000,0.25392306
40,2005,0.2239619
40,2010,0.2075292
40,2015,0.2007187
44,1970,8.34622
44,1975,7.2211666
44,1980,6.3407297
44,1985,5.6372943
44,1990,5.0533118
44,1995,4.5577283
44,2000,4.1488709
44,2005,3.7560799
44,2010,3.403383
44,2015,3.0730619
48,1970,44.260014
48,1975,33.581001
48,1980,30.24649
48,1985,21.165058
48,1990,15.986168
48,1995,13.796916
48,2000,13.451263
48,2005,9.0849609
48,2010,9.0225983
48,2015,2.6884129
50,1970,74.84623
50,1975,72.294495
50,1980,70.772766
50,1985,66.798561
50,1990,64.680695
50,1995,60.571301
50,2000,52.5145
50,2005,53.336399
50,2010,40.315308
50,2015,28.824696
51,1970,47.610863
51,1975,42.94355
51,1980,37.220085
51,1985,1.2480392
51,1990,26.760311
51,1995,21.130911
51,2000,0.59983826
51,2005,12.786404
51,2010,0.25559235
51,2015,0.26393127
52,1970,0.73191833
52,1975,21.10346
52,1980,0.40000153
52,1985,16.747963
52,1990,0.40000153
52,1995,13.912856
52,2000,0.40000153
52,2005,9.9192209
52,2010,0.40000153
52,2015,7.0446215
56,1970,3.2175114
56,1975,2.3943412
56,1980,1.5910527
56,1985,1.0635465
56,1990,0.75186032
56,1995,0.59975356
56,2000,0.50784612
56,2005,0.44792381
56,2010,0.4150584
56,2015,0.4014374
64,1970,60.184578
64,1975,58.310974
64,1980,54.105499
64,1985,50.211208
64,1990,45.671272
64,1995,41.298729
64,2000,36.329659
64,2005,47.18531
64,2010,42.9664
64,2015,33.43885
68,1970,39.886139
68,1975,36.791851
68,1980,29.085789
68,1985,24.377327
68,1990,20.008232
68,1995,16.354481
68,2000,13.276329
68,2005,9.1301956
68,2010,6.6566391
68,2015,7.5449219
70,1970,15.734859
70,1975,13.137277
70,1980,11.674517
70,1985,8.8507786
70,1990,10.936409
70,1995,6.100039
70,2000,3.3368988
70,2005,3.5038762
70,2010,2.4330978
70,2015,1.7880181
72,1970,51.309074
72,1975,45.673065
72,1980,40.052799
72,1985,34.62664
72,1990,31.41909
72,1995,25.508556
72,2000,18.811287
72,2005,17.304949
72,2010,13.176819
72,2015,12.104816
76,1970,30.37958
76,1975,26.709396
76,1980,25.413269
76,1985,20.58219
76,1990,18.159569
76,1995,15.956846
76,2000,12.507938
76,2005,10.010143
76,2010,8.7316113
76,2015,7.2100849
84,1970,23.333536
84,1975,19.534325
84,1980,15.917679
84,1985,12.625463
84,1990,29.701576
84,1995,7.7418175
84,2000,6.2131877
84,2005,4.7716827
84,2010,3.718451
84,2015,2.9743707
90,1970,41.646004
90,1975,32.532303
90,1980,35.945595
90,1985,21.84107
90,1990,27.903666
90,1995,23.400002
90,2000,23.590893
90,2005,23.400002
90,2010,14.956351
90,2015,12.915357
96,1970,39.477261
96,1975,29.762377
96,1980,22.264503
96,1985,17.197311
96,1990,12.195824
96,1995,10.086279
96,2000,7.3288727
96,2005,6.4952927
96,2010,3.9144363
96,2015,2.7858887
100,1970,7.0435405
100,1975,5.7489548
100,1980,4.4244933
100,1985,3.3417358
100,1990,2.5225749
100,1995,1.9054431
100,2000,1.7964401
100,2005,1.0874318
100,2010,1.6475525
100,2015,0.67916721
104,1970,28.894245
104,1975,26.003504
104,1980,21.429588
104,1985,20.712755
104,1990,18.358709
104,1995,16.360804
104,2000,10.058243
104,2005,13.323649
104,2010,12.109745
104,2015,24.448799
108,1970,76.450562
108,1975,77.491447
108,1980,68.905548
108,1985,64.624619
108,1990,62.61528
108,1995,54.885128
108,2000,40.696381
108,2005,51.915939
108,2010,38.430271
108,2015,31.624672
112,1970,1.9380673
112,1975,1.5353794
112,1980,1.1510773
112,1985,2.1166306
112,1990,0.65031809
112,1995,0.40927124
112,2000,0.38871199
112,2005,0.3829422
112,2010,0.24339351
112,2015,0.24343872
116,1970,49.95414
116,1975,46.292591
116,1980,43.789417
116,1985,39.708038
116,1990,36.466686
116,1995,32.66497
116,2000,26.390053
116,2005,24.256714
116,2010,21.944908
116,2015,19.473511
120,1970,65.697289
120,1975,58.783791
120,1980,49.981548
120,1985,42.047108
120,1990,34.558136
120,1995,27.780731
120,2000,31.590843
120,2005,29.320061
120,2010,28.709488
120,2015,22.928963
124,1970,1.6087557
124,1975,1.1971706
124,1980,0.79552633
124,1985,0.53177327
124,1990,0.37593016
124,1995,0.29987678
124,2000,0.25392306
124,2005,0.2239619
124,2010,0.2075292
124,2015,0.2007187
132,1970,60.059822
132,1975,54.241226
132,1980,47.137959
132,1985,39.968952
132,1990,37.20314
132,1995,28.546204
132,2000,23.889557
132,2005,20.13183
132,2010,14.672211
132,2015,13.209709
136,1970,17.808514
136,1975,21.10346
136,1980,13.758053
136,1985,16.747963
136,1990,10.757634
136,1995,13.912856
136,2000,7.0584054
136,2005,1.1321793
136,2010,6.700449
136,2015,7.0446215
140,1970,83.945633
140,1975,81.763832
140,1980,74.993538
140,1985,66.37558
140,1990,64.120239
140,1995,57.437374
140,2000,49.354832
140,2005,43.504833
140,2010,63.247391
140,2015,62.604179
144,1970,18.482811
144,1975,16.033073
144,1980,13.222076
144,1985,12.242582
144,1990,10.665136
144,1995,9.1878166
144,2000,9.3172531
144,2005,9.3166084
144,2010,8.8186417
144,2015,8.0025072
148,1970,89.471741
148,1975,85.839943
148,1980,81.312393
148,1985,75.924561
148,1990,89.105347
148,1995,62.237576
148,2000,72.982178
148,2005,46.223061
148,2010,38.840027
148,2015,75.842728
152,1970,11.068094
152,1975,9.3387508
152,1980,8.8715973
152,1985,6.5881786
152,1990,5.7088623
152,1995,4.7548409
152,2000,4.2833786
152,2005,1.3986549
152,2010,3.5149651
152,2015,3.3617935
156,1970,45.851746
156,1975,38.842682
156,1980,34.494911
156,1985,25.989693
156,1990,22.214943
156,1995,17.897171
156,2000,9.0797882
156,2005,11.654642
156,2010,4.8755188
156,2015,3.159111
158,1970,20.10948
158,1975,16.539391
158,1980,13.524364
158,1985,11.321924
158,1990,9.3121357
158,1995,7.478868
158,2000,5.9273677
158,2005,4.6603112
158,2010,3.6059279
158,2015,2.8321025
170,1970,20.683397
170,1975,17.565287
170,1980,14.754224
170,1985,12.523201
170,1990,8.9369125
170,1995,8.7928391
170,2000,7.1962204
170,2005,7.1153994
170,2010,6.2869644
170,2015,5.3361993
174,1970,57.021309
174,1975,54.159374
174,1980,52.080769
174,1985,48.019497
174,1990,45.043655
174,1995,42.111794
174,2000,31.510773
174,2005,36.856323
174,2010,50.80386
174,2015,41.18298
175,1970,57.021309
175,1975,54.159374
175,1980,52.080769
175,1985,48.019497
175,1990,45.043655
175,1995,42.111794
175,2000,31.510773
175,2005,36.856323
175,2010,50.80386
175,2015,41.18298
178,1970,68.219902
178,1975,63.818592
178,1980,49.786003
178,1985,45.220383
178,1990,33.916851
178,1995,42.660316
178,2000,32.04298
178,2005,22.894995
178,2010,20.688828
178,2015,19.701241
180,1970,71.674934
180,1975,66.826813
180,1980,56.009636
180,1985,52.062386
180,1990,42.994389
180,1995,42.035908
180,2000,32.827011
180,2005,38.794449
180,2010,24.982811
180,2015,22.957321
188,1970,11.041476
188,1975,9.2482843
188,1980,7.3709564
188,1985,6.6651435
188,1990,5.7144938
188,1995,4.859128
188,2000,5.131813
188,2005,3.4694762
188,2010,2.5934219
188,2015,2.1362076
191,1970,8.1656246
191,1975,6.6132464
191,1980,5.0732508
191,1985,3.7993746
191,1990,3.2984467
191,1995,2.0972919
191,2000,1.8533173
191,2005,1.0941558
191,2010,0.87464142
191,2015,0.51741338
192,1970,10.018645
192,1975,8.4480791
192,1980,2.1533508
192,1985,5.5158
192,1990,4.5018654
192,1995,3.7542305
192,2000,0.20092773
192,2005,2.436214
192,2010,0.24746704
192,2015,1.4323975
196,1970,14.998545
196,1975,11.427257
196,1980,8.8491087
196,1985,6.795074
196,1990,5.6375275
196,1995,3.6371188
196,2000,3.196373
196,2005,1.7639275
196,2010,1.3215714
196,2015,0.81683058
203,1970,1.6087557
203,1975,1.1971706
203,1980,0.79552633
203,1985,0.53177327
203,1990,0.37593016
203,1995,0.29987678
203,2000,0.25392306
203,2005,0.2239619
203,2010,0.2075292
203,2015,0.2007187
204,1970,87.853226
204,1975,83.517212
204,1980,79.761482
204,1985,74.932007
204,1990,72.754745
204,1995,63.583332
204,2000,65.342148
204,2005,71.29789
204,2010,67.051178
204,2015,57.6376
208,1970,1.6087557
208,1975,1.1971706
208,1980,0.79552633
208,1985,0.53177327
208,1990,0.37593016
208,1995,0.29987678
208,2000,0.25392306
208,2005,0.2239619
208,2010,0.2075292
208,2015,0.2007187
214,1970,31.526941
214,1975,28.110739
214,1980,26.935432
214,1985,22.133284
214,1990,19.743275
214,1995,17.611521
214,2000,13.003532
214,2005,11.755539
214,2010,9.5155611
214,2015,7.1151657
218,1970,24.18281
218,1975,20.466993
218,1980,16.447311
218,1985,14.181208
218,1990,11.701241
218,1995,9.7910213
218,2000,9.0159683
218,2005,7.7544656
218,2010,7.3954115
218,2015,6.1214423
222,1970,40.29509
222,1975,36.30505
222,1980,32.773346
222,1985,29.527945
222,1990,25.856842
222,1995,22.840864
222,2000,20.209572
222,2005,16.589428
222,2010,14.415237
222,2015,11.599268
226,1970,51.040096
226,1975,43.927887
226,1980,37.308598
226,1985,30.744303
226,1990,24.736246
226,1995,20.063549
226,2000,11.691704
226,2005,11.397207
226,2010,5.6294632
226,2015,6.1052108
231,1970,86.093796
231,1975,82.633331
231,1980,78.782623
231,1985,74.540466
231,1990,72.98864
231,1995,64.854691
231,2000,64.099998
231,2005,65.591843
231,2010,47.801685
231,2015,48.228821
232,1970,69.436913
232,1975,65.325699
232,1980,60.87624
232,1985,56.288246
232,1990,51.725399
232,1995,47.062008
232,2000,47.48605
232,2005,35.337029
232,2010,33.459736
232,2015,23.429482
233,1970,0.92080343
233,1975,0.76623142
233,1980,0.61534274
233,1985,0.27355957
233,1990,0.41785401
233,1995,0.35462597
233,2000,0.23280334
233,2005,0.26766866
233,2010,0.11421204
233,2015,0.17731124
242,1970,24.658947
242,1975,19.868723
242,1980,16.113081
242,1985,12.905176
242,1990,10.534678
242,1995,7.0571136
242,2000,6.5159392
242,2005,5.0936961
242,2010,3.9254031
242,2015,0.91789246
246,1970,1.6087557
246,1975,1.1971706
246,1980,0.79552633
246,1985,0.53177327
246,1990,0.37593016
246,1995,0.29987678
246,2000,0.25392306
246,2005,0.2239619
246,2010,0.2075292
246,2015,0.2007187
250,1970,3.2175114
250,1975,2.3943412
250,1980,1.5910527
250,1985,1.0635465
250,1990,0.75186032
250,1995,0.59975356
250,2000,0.50784612
250,2005,0.44792381
250,2010,0.4150584
250,2015,0.4014374
254,1970,19.610388
254,1975,16.917896
254,1980,17.08075
254,1985,11.837346
254,1990,9.7087831
254,1995,8.3060417
254,2000,7.3742652
254,2005,6.7534399
254,2010,6.0591912
254,2015,4.3469939
258,1970,19.610388
258,1975,16.917896
258,1980,15.174514
258,1985,11.837346
258,1990,9.7087831
258,1995,8.3060417
258,2000,10.401939
258,2005,5.3790588
258,2010,6.2277946
258,2015,5.6167297
262,1970,67.936256
262,1975,62.819588
262,1980,57.100559
262,1985,50.835846
262,1990,44.596981
262,1995,38.863304
262,2000,33.283516
262,2005,27.848064
262,2010,23.229704
262,2015,19.240797
266,1970,71.674934
266,1975,66.826813
266,1980,56.009636
266,1985,52.062386
266,1990,27.766327
266,1995,42.035908
266,2000,34.771954
266,2005,31.799746
266,2010,17.716202
266,2015,15.33284
268,1970,47.610863
268,1975,42.94355
268,1980,37.220085
268,1985,29.239998
268,1990,26.760311
268,1995,21.130911
268,2000,0.34764862
268,2005,12.786404
268,2010,0.41381073
268,2015,0.63574219
270,1970,89.040733
270,1975,85.823936
270,1980,82.016342
270,1985,77.467041
270,1990,72.281044
270,1995,66.778015
270,2000,63.18227
270,2005,55.125454
270,2010,58.04995
270,2015,49.222031
275,1970,47.610863
275,1975,42.94355
275,1980,37.220085
275,1985,29.239998
275,1990,26.760311
275,1995,13.937111
275,2000,7.7200317
275,2005,6.4010448
275,2010,4.236249
275,2015,3.053477
276,1970,1.6087557
276,1975,1.1971706
276,1980,0.79552633
276,1985,0.53177327
276,1990,0.37593016
276,1995,0.29987678
276,2000,0.25392306
276,2005,0.2239619
276,2010,0.2075292
276,2015,0.2007187
288,1970,67.733482
288,1975,60.649151
288,1980,53.319874
288,1985,45.996189
288,1990,38.943409
288,1995,32.328712
288,2000,42.102531
288,2005,21.214922
288,2010,28.50293
288,2015,20.960358
296,1970,3.5793533
296,1975,3.5793533
296,1980,3.5793533
296,1985,0.63085175
296,1990,0.63085175
296,1995,1.1158943
296,2000,1.1158943
296,2005,1.1158943
296,2010,1.1158943
296,2015,3.4062576
300,1970,12.535503
300,1975,10.23992
300,1980,9.4876785
300,1985,6.0128479
300,1990,7.3895493
300,1995,3.3061819
300,2000,4.0056381
300,2005,6.3730087
300,2010,2.6312637
300,2015,2.0640488
308,1970,2.2055283
308,1975,21.10346
308,1980,1.4000015
308,1985,16.747963
308,1990,1.4000015
308,1995,13.912856
308,2000,1.4000015
308,2005,9.9192209
308,2010,1.4000015
308,2015,7.0446215
312,1970,17.808514
312,1975,21.10346
312,1980,9.9020233
312,1985,16.747963
312,1990,5.9000015
312,1995,13.912856
312,2000,4
312,2005,9.9192209
312,2010,4
312,2015,7.0446215
316,1970,3.5793533
316,1975,3.5793533
316,1980,3.5793533
316,1985,0.63085175
316,1990,0.63085175
316,1995,1.1158943
316,2000,1.1158943
316,2005,1.1158943
316,2010,1.1158943
316,2015,3.4062576
320,1970,53.164394
320,1975,49.213089
320,1980,45.238853
320,1985,41.241291
320,1990,35.788361
320,1995,33.428871
320,2000,30.89827
320,2005,26.746933
320,2010,21.136856
320,2015,21.350151
324,1970,81.349655
324,1975,77.385834
324,1980,72.794395
324,1985,67.707664
324,1990,63.368469
324,1995,79.446251
324,2000,70.295982
324,2005,53.040802
324,2010,71.344208
324,2015,47.364422
328,1970,8.427084
328,1975,6.4285927
328,1980,4.7535701
328,1985,3.4434078
328,1990,2.5485101
328,1995,1.8704414
328,2000,1.3238745
328,2005,15.005989
328,2010,14.360268
328,2015,0.508515
332,1970,76.234535
332,1975,72.061958
332,1980,65.265305
332,1985,63.03194
332,1990,58.265408
332,1995,53.214069
332,2000,41.2561
332,2005,51.31498
332,2010,39.57729
332,2015,38.308651
340,1970,44.892796
340,1975,40.866478
340,1980,37.002544
340,1985,33.449184
340,1990,30.205976
340,1995,27.159725
340,2000,19.988968
340,2005,16.411011
340,2010,14.420767
340,2015,11.966817
344,1970,20.10948
344,1975,16.539391
344,1980,13.524364
344,1985,11.321924
344,1990,9.3121357
344,1995,7.478868
344,2000,5.9273677
344,2005,4.6603112
344,2010,3.6059279
344,2015,2.8321025
348,1970,1.8106322
348,1975,1.5725135
348,1980,1.1417084
348,1985,1.0765023
348,1990,0.87201655
348,1995,0.73579913
348,2000,0.63977414
348,2005,0.55240518
348,2010,0.90000153
348,2015,0.40396068
352,1970,3.2175114
352,1975,2.3943412
352,1980,1.5910527
352,1985,1.0635465
352,1990,0.75186032
352,1995,0.59975356
352,2000,0.50784612
352,2005,0.44792381
352,2010,0.4150584
352,2015,0.4014374
356,1970,65.368004
356,1975,61.425953
356,1980,59.236408
356,1985,53.130966
356,1990,51.777931
356,1995,45.145275
356,2000,38.985439
356,2005,37.245529
356,2010,30.697441
356,2015,25.627007
360,1970,40.992725
360,1975,34.437523
360,1980,32.687332
360,1985,23.250286
360,1990,18.480148
360,1995,15.014409
360,2000,9.6152115
360,2005,7.7479095
360,2010,6.0359344
360,2015,4.5821786
364,1970,62.003078
364,1975,63.481602
364,1980,46.963306
364,1985,47.680241
364,1990,34.468597
364,1995,26.939751
364,2000,23
364,2005,17.421724
364,2010,15.680656
364,2015,14.45575
368,1970,72.458954
368,1975,68.058311
368,1980,63.214584
368,1985,57.97942
368,1990,52.587559
368,1995,47.291374
368,2000,25.9478
368,2005,37.160049
368,2010,22.633337
368,2015,15.549999
372,1970,3.2175114
372,1975,2.3943412
372,1980,1.5910527
372,1985,1.0635465
372,1990,0.75186032
372,1995,0.59975356
372,2000,0.50784612
372,2005,0.44792381
372,2010,0.4150584
372,2015,0.4014374
376,1970,11.894577
376,1975,10.157244
376,1980,8.2485886
376,1985,7.0145369
376,1990,5.67558
376,1995,4.6061921
376,2000,3.6820941
376,2005,2.8772247
376,2010,2.1303887
376,2015,1.5797259
380,1970,5.1854439
380,1975,4.3156924
380,1980,3.5394592
380,1985,2.657748
380,1990,2.1061189
380,1995,1.7178273
380,2000,1.5833817
380,2005,1.1204804
380,2010,1.1517181
380,2015,0.84423828
384,1970,82.656754
384,1975,78.726646
384,1980,74.383682
384,1985,65.860718
384,1990,63.572559
384,1995,63.649761
384,2000,51.259239
384,2005,43.834217
384,2010,57.554977
384,2015,52.834648
388,1970,30.725948
388,1975,26.435089
388,1980,22.618965
388,1985,19.550951
388,1990,16.957081
388,1995,20.07988
388,2000,12.442885
388,2005,10.764374
388,2010,11.900002
388,2015,7.9913483
392,1970,1.6087557
392,1975,1.1971706
392,1980,0.79552633
392,1985,0.53177327
392,1990,0.37593016
392,1995,0.29987678
392,2000,0.25392306
392,2005,0.2239619
392,2010,0.2075292
392,2015,0.2007187
398,1970,21.64456
398,1975,16.949947
398,1980,13.397698
398,1985,2.4706192
398,1990,8.5060682
398,1995,0.48734283
398,2000,0.95336914
398,2005,0.26759338
398,2010,0.21836853
398,2015,0.21836853
400,1970,42.958767
400,1975,33.203194
400,1980,28.989977
400,1985,22.501707
400,1990,16.631834
400,1995,12.230158
400,2000,10.107681
400,2005,8.3348351
400,2010,4.5513968
400,2015,1.7728882
404,1970,56.158714
404,1975,48.461926
404,1980,40.673729
404,1985,33.363091
404,1990,26.672436
404,1995,20.791517
404,2000,17.77092
404,2005,27.842972
404,2010,21.26696
404,2015,18.465027
408,1970,25.92742
408,1975,21.351284
408,1980,16.024881
408,1985,14.082211
408,1990,11.737253
408,1995,9.3697538
408,2000,5.5890899
408,2005,0.001808167
408,2010,3.1133738
408,2015,2.3278487
410,1970,11.821035
410,1975,8.6717768
410,1980,6.4584351
410,1985,4.9350152
410,1990,3.68468
410,1995,2.7332225
410,2000,2.0025172
410,2005,1.4379352
410,2010,0.98246336
410,2015,0.60963875
414,1970,39.282646
414,1975,40.435612
414,1980,32.482338
414,1985,25.509132
414,1990,21.464495
414,1995,21.6045
414,2000,16.464411
414,2005,6.470232
414,2010,4.8106666
414,2015,4.0740433
417,1970,21.64456
417,1975,16.949947
417,1980,13.397698
417,1985,7.928175
417,1990,8.5060682
417,1995,1.2983932
417,2000,0.95336914
417,2005,0.75656891
417,2010,0.18266582
417,2015,0.41400146
418,1970,30.404457
418,1975,25.705452
418,1980,23.215105
418,1985,18.365356
418,1990,15.056507
418,1995,39.748669
418,2000,30.841244
418,2005,27.297737
418,2010,41.712059
418,2015,15.338959
422,1970,34.481941
422,1975,29.863014
422,1980,26.058611
422,1985,22.028639
422,1990,18.416473
422,1995,15.596467
422,2000,13.060669
422,2005,9.6016846
422,2010,8.8634148
422,2015,4.9305573
426,1970,34.260395
426,1975,30.655649
426,1980,27.352642
426,1985,23.980919
426,1990,20.933744
426,1995,18.166876
426,2000,13.745567
426,2005,24.199799
426,2010,23.364799
426,2015,10.093046
428,1970,0.21733835
428,1975,0.21405138
428,1980,0.21089266
428,1985,0.54769897
428,1990,0.20621698
428,1995,0.20478898
428,2000,0.25343323
428,2005,0.20108545
428,2010,0.10410309
428,2015,0.11068726
430,1970,79.954315
430,1975,75.340652
430,1980,67.893234
430,1985,64.159019
430,1990,58.38258
430,1995,50.845623
430,2000,43.63343
430,2005,57.058922
