"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"Lesotho",2015,426,7.61,NA,NA,0.194,0.471537612654037,0.484044509839985,0.0444178775059776,"Lesotho",0.10093046,323.52,6.33551333989,6.98805900634,0.67,0.6,0.07,0.08,0,0,0.94,5.068410671912
"Liberia",2015,430,4.87,NA,NA,0.21,0.529556869194186,0.440197342104094,0.0302457887017201,"Liberia",0.51698639,273.71,1.82709478429,2.59536105476,0.83,0.78,0.06,0.022,0,0,1.02,1.461675827432
"Libyan Arab Jamahiriya",2015,434,8.17,NA,NA,0.395,0.372054979070103,0.58472197719363,0.0432230437362673,"Libya",0.091393242,NA,NA,NA,0.49,0.43,0.06,0.167,0,0,1.02,NA
"Lithuania",2015,440,13.48,1.01377977500537,13.6657513670724,0.898,0.203785811732606,0.609379263301501,0.186834924965894,"Lithuania",0.0024393523,523.24,NA,NA,0.5,0.22,0.28,1.133,0.333,0.128,0.85,13.6657513670724
"Luxembourg",2015,442,13.17,NA,NA,0.738,0.223672605397777,0.63644381725172,0.139883577350503,"Luxembourg",0.002007187,508.88,NA,NA,0.44,0.24,0.2,0.684,0.274,0.187,1.01,NA
"Macao Special Administrative Region of China",2015,446,11.34,NA,NA,0.594,0.17640206357131,0.7375603261774,0.0860376102512897,"Macao",0.034615097,561.9,NA,NA,0.27,0.16,0.11,0.278,0,0,0.92,NA
"Madagascar",2015,450,4.48,NA,NA,0.07,0.527992803736775,0.443667783517916,0.0283394127453084,"Madagascar",0.25195679,367.58,2.41470138112,3.22111197184,0.8,0.75,0.05,0.025,0,0,0.99,1.931761104896
"Malawi",2015,454,6.16,NA,NA,0.146,0.559350102435693,0.410602094240838,0.0300478033234692,"Malawi",0.37856461,322.77,3.7188892972,4.33558952904,0.91,0.85,0.06,0.017,0,0,0.98,2.97511143776
"Malaysia",2015,458,11.61,NA,NA,0.633,0.343957792915797,0.597418363726904,0.0586238433572989,"Malaysia",0.054427466,474.05,NA,NA,0.45,0.36,0.08,0.189,0,0,1.07,NA
"Maldives",2015,462,7.4,NA,NA,0.126,0.308795411089866,0.650095602294455,0.0411089866156788,"Maldives",0.022650528,NA,6.768926705,7.2854543196,0.38,0.32,0.06,0.078,0,0,1.3,5.415141364
"Mali",2015,466,2.25,NA,NA,0.065,0.584563516367778,0.390102058922858,0.0253344247093639,"Mali",0.65728668,170.91,0.59039812125,0.84294333225,1.02,0.97,0.05,0.029,0,0,1,0.472318497
"Malta",2015,470,11.17,NA,NA,0.483,0.200374093991115,0.61585223287351,0.183773673135375,"Malta",0.054968109,498,NA,NA,0.49,0.21,0.27,0.271,0,0,1.01,NA
"Martinique",2015,474,10.97,NA,NA,0.624,0.244882093806686,0.577092511013216,0.178025395180098,"Martinique",0.0097416061,NA,NA,NA,0.57,0.29,0.28,0.217,0,0,0.84,NA
"Mauritania",2015,478,4.22,NA,NA,0.117,0.505295369241435,0.463697434794042,0.0310071959645222,"Mauritania",0.46502411,NA,NA,NA,0.76,0.71,0.05,0.041,0,0,1.01,NA
"Mauritius",2015,480,9.34,NA,NA,0.407,0.269032309279987,0.631420179407795,0.0995475113122172,"Mauritius",0.076030555,444.73,NA,NA,0.42,0.27,0.14,0.068,0,0,0.98,NA
"Mayotte",2015,175,10.14,NA,NA,0.579,0.520833333333333,0.441666666666667,0.0375,"Mayotte",0.4118298,NA,NA,NA,0.83,0.76,0.07,0.195,0,0,0.97,NA
"Mexico",2015,484,9.32,0.83938694491556,7.82308632661302,0.357,0.368141081191425,0.567043670068143,0.0648152487404316,"Mexico",0.050788517,443.36,NA,NA,0.51,0.42,0.1,0.334,0.147,0.015,0.99,7.82308632661302
"Micronesia (Federated States of)",2015,583,9.72,NA,NA,0.503,0.46551724137931,0.491379310344828,0.0431034482758621,"Micronesia",0.034062576,NA,NA,NA,0.62,0.55,0.07,0.117,0,0,1.05,NA
"Mongolia",2015,496,10.48,NA,NA,0.739,0.364631975005879,0.59653307353781,0.0388349514563107,"Mongolia",0.015768814,438.28,NA,NA,0.49,0.43,0.06,0.273,0,0,0.98,NA
"Montenegro",2015,499,11.97,NA,NA,0.832,0.251034702324101,0.609996816300541,0.138968481375358,"Montenegro",0.011528168,441.38,NA,NA,0.48,0.27,0.21,0.426,0.155,0.014,0.97,NA
"Morocco",2015,504,5.66,NA,NA,0.226,0.361612440700077,0.574422660831736,0.0639648984681871,"Morocco",0.26249992,380.75,2.60999383032,2.89617736524,0.52,0.42,0.1,0.097,0,0,0.98,2.087995064256
"Mozambique",2015,508,2.93,NA,NA,0.078,0.560119532153721,0.408551475943619,0.0313289919026606,"Mozambique",0.41652786,322.74,1.11999898116,1.49629493445,0.94,0.87,0.06,0.008,0,0,0.95,0.895999184928
"Myanmar",2015,104,6.36,NA,NA,0.172,0.371228804018029,0.575586121617135,0.0531850743648361,"Myanmar",0.24448799,NA,5.13372856536,5.65411134012,0.5,0.42,0.08,0.104,0,0,0.95,4.106982852288
"Namibia",2015,516,8.43,NA,NA,0.288,0.480169854881267,0.48503463060686,0.0347955145118734,"Namibia",0.084727325,325.14,7.28760663639,7.84156308726,0.68,0.62,0.06,0.086,0,0,0.95,5.830085309112
"Nepal",2015,524,5.62,NA,NA,0.315,0.438975794098045,0.506265200657401,0.0547590052445539,"Nepal",0.32091568,189.48,3.96527467618,4.4600684738,0.61,0.53,0.09,0.043,0,0,0.94,3.172219740944
"Netherlands",2015,528,12.42,1.0809154898007,13.4249703833247,0.764,0.227168875638339,0.593629896389881,0.17920122797178,"Netherlands",0.004014374,530.27,NA,NA,0.53,0.26,0.27,0.668,0.308,0.11,0.99,13.4249703833247
"New Caledonia",2015,540,11.5,NA,NA,0.668,0.306577480490524,0.596060943887031,0.0973615756224452,"New Caledonia",0.12915357,NA,NA,NA,0.48,0.34,0.14,0.288,0,0,1.02,NA
"New Zealand",2015,554,13.52,1.07127568512237,14.4836472628545,0.828,0.268820699518918,0.584709400598102,0.14646989988298,"New Zealand",0.002007187,492.69,NA,NA,0.53,0.31,0.22,0.911,0.247,0.074,0.97,14.4836472628545
"Nicaragua",2015,558,6.78,NA,NA,0.286,0.399625104822665,0.549517404673036,0.0508574905042998,"Nicaragua",0.17385452,365.66,5.58785991462,5.81411682012,0.54,0.46,0.08,0.117,0,0,0.97,4.470287931696
"Niger",2015,562,1.95,NA,NA,0.027,0.605307866298065,0.369268660467454,0.025423473234481,"Niger",0.73398079,147.45,0.37519115205,0.54049975005,1.12,1.06,0.05,0.014,0,0,1,0.30015292164
"Nigeria",2015,566,6.75,NA,NA,0.353,0.544078930665221,0.428559049529257,0.0273620198055213,"Nigeria",0.3798399,NA,2.72812331475,4.27826990025,0.88,0.83,0.05,0.125,0,0,1.03,2.1824986518
"Norway",2015,578,13.1,1.06476024401567,13.9483591966053,0.789,0.242442307692308,0.594519230769231,0.163038461538462,"Norway",0.002007187,530.48,NA,NA,0.52,0.27,0.25,0.81,0.278,0.1,1.01,13.9483591966053
"Occupied Palestinian Territory",2015,275,10.74,NA,NA,0.476,0.515023484247325,0.455229802474961,0.0297467132777146,"Palestine",0.03053477,400.62,NA,NA,0.76,0.71,0.05,0.224,0,0,1.03,NA
"Oman",2015,512,9.21,NA,NA,0.437,0.277879646607768,0.698973638463553,0.0231467149286786,"Oman",0.052084694,414.85,NA,NA,0.32,0.29,0.03,0.204,0,0,1.84,NA
"Pakistan",2015,586,5.08,NA,NA,0.259,0.452323272857837,0.502829640737533,0.0448470864046297,"Pakistan",0.4086795,367.83,2.67423781636,3.10400805156,0.65,0.58,0.07,0.067,0,0,1.06,2.139390253088
"Panama",2015,591,10.2,NA,NA,0.535,0.36511815387716,0.55932886582355,0.0755529802992896,"Panama",0.045881882,368.96,NA,NA,0.55,0.43,0.12,0.464,0.218,0.033,1.01,NA
"Papua New Guinea",2015,598,6.94,NA,NA,0.205,0.470153682961017,0.493389233353117,0.0364570836858655,"Papua New Guinea",0.25334488,NA,3.87309835184,5.14504740118,0.67,0.61,0.06,0.07,0,0,1.04,3.098478681472
"Paraguay",2015,600,8.79,NA,NA,0.355,0.404377099305629,0.535418957388803,0.0602039433055685,"Paraguay",0.052580414,366.83,NA,NA,0.57,0.47,0.09,0.147,0,0,1.03,NA
"Peru",2015,604,10.22,0.736206743062117,7.52403291409484,0.668,0.367461412695327,0.564287740344011,0.0682508469606622,"Peru",0.057765274,419.49,9.46682996644,9.77687898138,0.53,0.43,0.1,0.258,0,0,1,7.52403291409484
"Philippines",2015,608,9.42,NA,NA,0.668,0.42277210008297,0.531511861554251,0.0457160383627791,"Philippines",0.018174515,367.48,8.84009814006,9.24018878862,0.58,0.51,0.07,0.19,0,0,1.02,7.072078512048
"Poland",2015,616,13.04,1.01263671516209,13.2047827657136,0.901,0.201715504354098,0.642156350293235,0.156128145352666,"Poland",0.0020068797,528.84,NA,NA,0.44,0.21,0.22,0.592,0.262,0.186,0.93,13.2047827657136
"Portugal",2015,620,9.35,NA,NA,0.453,0.193476236644812,0.599109174162211,0.207414589192977,"Portugal",0.038624115,525.21,NA,NA,0.53,0.22,0.32,0.461,0.049,0.023,0.9,NA
"Puerto Rico",2015,630,12.44,NA,NA,0.835,0.261649428415895,0.593304300489929,0.145046271094175,"Puerto Rico",0.076100006,396.29,NA,NA,0.5,0.28,0.22,0.748,0.262,0.064,0.93,NA
"Qatar",2015,634,9.32,NA,NA,0.421,0.179301172772337,0.809817434409382,0.0108813928182807,"Qatar",0.066953659,438.9,NA,NA,0.18,0.16,0.01,0.178,0,0,3.07,NA
"Republic of Korea",2015,410,12.9,1.0319925285083,13.3127036177571,0.886,0.201708296763685,0.668623637039321,0.129668066196994,"South Korea",0.0060963875,607.23,NA,NA,0.37,0.19,0.18,0.908,0.304,0.042,1,13.3127036177571
"Republic of Moldova",2015,498,11.06,NA,NA,0.736,0.216901547012961,0.683710863523451,0.0993875894635874,"Moldova",0.0026689392,443.29,11.13967890546,11.14524842284,0.35,0.21,0.13,0.153,0,0,0.92,8.911743124368
"Reunion",2015,638,9.91,NA,NA,0.513,0.321056289089646,0.575515404215891,0.103428306694464,"Reunion",0.055800066,NA,NA,NA,0.53,0.37,0.16,0.175,0,0,0.94,NA
"Romania",2015,642,11.65,NA,NA,0.737,0.208929766391113,0.621058510397432,0.170011723211456,"Romania",0.011555023,469.42,NA,NA,0.48,0.23,0.25,0.497,0.214,0.029,0.94,NA
"Russian Federation",2015,643,10.87,1.04917652815229,11.4045488610153,0.929,0.21233682609865,0.652776918698515,0.134886255202835,"Russia",0.0023176168,551.63,NA,NA,0.44,0.24,0.19,0.297,0,0,0.87,11.4045488610153
"Rwanda",2015,646,4.56,NA,NA,0.0890000000000001,0.511816915217503,0.460085659734764,0.0280974250477321,"Rwanda",0.26784409,NA,3.3570238692,3.82737611352,0.77,0.72,0.05,0.025,0,0,0.96,2.68561909536
"Saint Lucia",2015,662,10.58,NA,NA,0.533,0.287810383747178,0.618510158013544,0.0936794582392777,"Saint Lucia",0.070446215,NA,NA,NA,0.41,0.28,0.13,0.396,0.078,0.02,0.96,NA
"Saint Vincent and the Grenadines",2015,670,10.82,NA,NA,0.396,0.335159817351598,0.591780821917808,0.0730593607305936,"Saint Vincent and the Grenadines",0.070446215,NA,NA,NA,0.47,0.36,0.11,0.145,0,0,1.02,NA
"Samoa",2015,882,10.74,NA,NA,0.322,0.478844169246646,0.468008255933953,0.0531475748194014,"Samoa",0.0090422821,NA,NA,NA,0.74,0.65,0.09,0.161,0,0,1.07,NA
"Sao Tome and Principe",2015,678,4.68,NA,NA,0.083,0.541411042944785,0.428425357873211,0.0301635991820041,"Sao Tome and Principe",0.071833572,NA,3.51605096856,4.23232937244,0.87,0.81,0.06,0.014,0,0,0.99,2.812840774848
"Saudi Arabia",2015,682,10.2,NA,NA,0.543,0.334158360931088,0.635307166965092,0.0305344721038204,"Saudi Arabia",0.046713715,375.6,NA,NA,0.41,0.37,0.04,0.609,0.233,0.011,1.31,NA
"Senegal",2015,686,4.26,NA,NA,0.118,0.535442953468189,0.434615127845651,0.0299419186861606,"Senegal",0.48099579,319.54,1.9813426779,2.31504685554,0.85,0.8,0.06,0.04,0,0,0.96,1.58507414232
"Serbia",2015,688,12.06,NA,NA,0.811,0.227592207557404,0.609326975230519,0.163080817212077,"Serbia",0.015035934,512.22,NA,NA,0.49,0.25,0.24,0.214,0,0,0.96,NA
"Seychelles",2015,690,10.65,NA,NA,0.53,0.279317697228145,0.638592750533049,0.082089552238806,"Seychelles",0.041322937,360.57,NA,NA,0.43,0.31,0.12,0.181,0,0,0.98,NA
"Sierra Leone",2015,694,4.3,NA,NA,0.14,0.536258513739414,0.438721799317519,0.0250196869430667,"Sierra Leone",0.56793671,NA,1.5349752183,1.7306519471,0.83,0.78,0.05,0.038,0,0,0.98,1.22798017464
"Singapore",2015,702,12.64,0.971562764793548,12.2805533469904,0.804,0.218761854869303,0.664378488718681,0.116859656412017,"Singapore",0.02894453,619.17,NA,NA,0.37,0.21,0.16,0.602,0,0,0.98,12.2805533469904
"Slovakia",2015,703,13.25,1.04368984090454,13.8288903919852,0.912,0.206147849907157,0.653282591509937,0.140569558582906,"Slovak Republic",0.002007187,495.32,NA,NA,0.42,0.22,0.2,0.482,0.222,0.179,0.95,13.8288903919852
"Slovenia",2015,705,12.2,0.97278202862638,11.8679407492418,0.818,0.192876765145308,0.626777194081642,0.180346040773049,"Slovenia",0.002711004,518.04,NA,NA,0.49,0.22,0.27,0.488,0.137,0.021,0.98,11.8679407492418
"Solomon Islands",2015,90,6.69,NA,NA,0.206,0.502894109635683,0.462717058222676,0.0343888321416411,"Solomon Islands",0.12915357,NA,NA,NA,0.75,0.69,0.06,0.07,0,0,1.03,NA
"Somalia",2015,706,3.31,NA,NA,0.101,0.577184151865967,0.395944488387143,0.0268713597468901,"Somalia",0.23161285,NA,NA,NA,0.97,0.92,0.05,0.024,0,0,0.99,NA
"South Africa",2015,710,10.07,NA,NA,0.489,0.386433394165535,0.562751520654311,0.0508150851801544,"South Africa",0.092927055,374.06,8.66473670619,9.73491754774,0.53,0.45,0.08,0.162,0.047,0.017,0.96,6.931789364952
"South Sudan",2015,728,2.63,NA,NA,0.16,0.530686285238091,0.434608035421174,0.0347056793407352,"South Sudan",0.65477242,NA,NA,NA,0.84,0.77,0.06,0.027,0,0,1,NA
"Spain",2015,724,11.47,0.957579332710751,10.9834349461923,0.598,0.194276452762846,0.616949510537137,0.188774036700016,"Spain",0.017232437,504.83,NA,NA,0.51,0.23,0.29,0.709,0.26,0.14,0.96,10.9834349461923
"Sri Lanka",2015,144,10.77,NA,NA,0.519,0.32226401247592,0.584736311009613,0.0929996765144675,"Sri Lanka",0.080025072,292.3,NA,NA,0.51,0.37,0.14,0.23,0,0,0.93,NA
"Sudan",2015,729,4.98,NA,NA,0.249,0.52423860528066,0.441201359111247,0.0345600356080936,"Sudan",0.2588896,NA,NA,NA,0.82,0.75,0.06,0.091,0,0,1,NA
"Suriname",2015,740,10.19,NA,NA,0.287,0.358937285378637,0.574191216338334,0.0668714982830291,"Suriname",0.056167297,NA,NA,NA,0.51,0.41,0.1,0.073,0,0,1.01,NA
"Swaziland",2015,748,9.5,NA,NA,0.411,0.490105390856016,0.478808097657138,0.0310865114868451,"Swaziland",0.1158062,335.26,8.0023803565,8.6915543225,0.69,0.64,0.05,0.128,0,0,0.94,6.4019042852
"Sweden",2015,752,12.77,1.06658913976492,13.6203433147981,0.816,0.224761104909,0.579257863310016,0.195981031780985,"Sweden",0.002007187,509.15,NA,NA,0.58,0.27,0.31,0.8,0.252,0.11,1,13.6203433147981
"Switzerland",2015,756,13.4,NA,NA,0.821,0.20016106156398,0.619870669968028,0.179968268467992,"Switzerland",0.002007187,543.83,NA,NA,0.49,0.22,0.27,0.68,0.234,0.133,0.98,NA
"Syrian Arab Republic",2015,760,7.29,NA,NA,0.269,0.496159614840593,0.463440280542938,0.0404001046164685,"Syria",0.14982486,390.86,NA,NA,0.73,0.66,0.07,0.282,0.064,0.001,1.02,NA
"Taiwan Province of China",2015,158,12.39,NA,NA,0.777,0.202396617141689,0.674996060997057,0.122607321861253,"Taiwan",0.028321025,597.75,NA,NA,0.35,0.19,0.17,0.83,0.248,0.043,1,NA
"Tajikistan",2015,762,11.79,NA,NA,0.93,0.452613480859425,0.514169756371419,0.0332167627691552,"Tajikistan",0.0026689839,NA,9.52618018239,11.2668839487,0.62,0.57,0.05,0.223,0,0,1.01,7.620944145912
"Thailand",2015,764,10.22,NA,NA,0.447,0.250136906495776,0.644219341683659,0.105643751820565,"Thailand",0.066819649,440.25,NA,NA,0.4,0.25,0.15,0.185,0,0,0.95,NA
"The former Yugoslav Republic of Macedonia",2015,807,10.64,NA,NA,0.634,0.231579453636014,0.643180069257407,0.125240477106579,"Macedonia",0.017880181,389,NA,NA,0.42,0.24,0.18,0.133,0,0,1,NA
"Timor-Leste",2015,626,6.72,NA,NA,0.37,0.564786462530218,0.400644641418211,0.0345688960515713,"Timor",0.31933167,NA,4.33909490784,5.31159022464,0.9,0.84,0.07,0.104,0,0,1.03,3.471275926272
"Togo",2015,768,5.25,NA,NA,0.128,0.522603783251763,0.449500465153905,0.0278957515943319,"Togo",0.36254379,283.23,2.282895153,2.75009230125,0.81,0.76,0.05,0.048,0,0,0.99,1.8263161224
"Tonga",2015,776,11.03,NA,NA,0.358,0.475563909774436,0.466165413533835,0.0582706766917293,"Tonga",0.0058563232,NA,NA,NA,0.74,0.64,0.1,0.151,0,0,1.01,NA
"Trinidad and Tobago",2015,780,11.63,NA,NA,0.57,0.271283634759594,0.634612556976915,0.0941038082634907,"Trinidad and Tobago",0.0069884294,438.75,NA,NA,0.43,0.3,0.13,0.262,0,0,0.97,NA
"Tunisia",2015,788,8.99,NA,NA,0.315,0.310308126230642,0.613600482500488,0.0760913912688699,"Tunisia",0.14894849,384.12,NA,NA,0.46,0.34,0.11,0.15,0,0,0.98,NA
"Turkey",2015,792,9.21,0.85878086025655,7.90937172296283,0.439,0.341053460003373,0.580928459364571,0.0780180806320556,"Turkey",0.040269089,470.39,NA,NA,0.5,0.38,0.12,0.193,0,0,0.97,7.90937172296283
"Turkmenistan",2015,795,10.73,NA,NA,0.948,0.388130478517028,0.57113090961345,0.0407386118695215,"Turkmenistan",0.0022787584,NA,NA,NA,0.53,0.46,0.06,0.143,0,0,0.97,NA
"Uganda",2015,800,6.68,NA,NA,0.0990000000000001,0.594072749194139,0.38418021393305,0.021747036872811,"Uganda",0.23472504,329.42,4.03208549484,4.95718228876,1.02,0.97,0.04,0.04,0,0,0.99,3.225668395872
"Ukraine",2015,804,10.98,1.02519505643627,11.2566417196703,0.93,0.197926136236414,0.643217959454195,0.158855904309391,"Ukraine",0.0021072938,478.3,NA,NA,0.45,0.22,0.23,0.205,0,0,0.86,11.2566417196703
"United Arab Emirates",2015,784,10.24,NA,NA,0.524,0.173763901330595,0.81601083702943,0.0102252616399747,"United Arab Emirates",0.067728577,460.49,NA,NA,0.17,0.16,0.01,0.23,0,0,2.72,NA
"United Kingdom of Great Britain and Northern Ireland",2015,826,13.26,1.04178474116574,13.8140656678577,0.742,0.23359849770772,0.585175262335343,0.181226239956938,"United Kingdom",0.002007187,515.8,NA,NA,0.56,0.27,0.28,0.768,0.232,0.079,0.97,13.8140656678577
"United Republic of Tanzania",2015,834,7.22,NA,NA,0.067,0.556763036244834,0.412138150142058,0.0310988136131076,"Tanzania",0.2211277,352.92,5.0305402345,5.51972194128,0.93,0.87,0.06,0.037,0,0,0.98,4.0244321876
"United States of America",2015,840,12.89,1.02985881680085,13.2748801485629,0.897,0.258714413072807,0.594872006471885,0.146413580455308,"United States",0.002007187,529.09,NA,NA,0.51,0.29,0.22,0.758,0.295,0.096,0.98,13.2748801485629
"United States Virgin Islands",2015,850,9.99,NA,NA,0.478,0.270218839200761,0.555661274976213,0.174119885823026,"United States Virgin Islands",0.070446215,NA,NA,NA,0.61,0.33,0.28,0.187,0,0,0.91,NA
"Uruguay",2015,858,9.55,NA,NA,0.36,0.289302677973016,0.566366523880293,0.144330798146691,"Uruguay",0.013987694,445.45,NA,NA,0.56,0.33,0.23,0.251,0.079,0.009,0.93,NA
"Uzbekistan",2015,860,11.23,NA,NA,0.904,0.371153988940146,0.586530608291985,0.042315402767869,"Uzbekistan",0.00012235005,NA,NA,NA,0.48,0.41,0.06,0.212,0,0,0.99,NA
"Vanuatu",2015,548,7.2,NA,NA,0.188,0.463165848129958,0.494899886664148,0.0419342652058935,"Vanuatu",0.1249369,NA,NA,NA,0.69,0.62,0.07,0.043,0,0,1.03,NA
"Venezuela (Bolivarian Republic of)",2015,862,10.11,NA,NA,0.545,0.37138134668464,0.566050452532255,0.0625682007831055,"Venezuela",0.031338463,422.71,NA,NA,0.53,0.43,0.1,0.228,0,0,0.99,NA
"Viet Nam",2015,704,8.08,0.906615666680142,7.32545458677555,0.229,0.305523942641529,0.627036361440865,0.0674396959176062,"Vietnam",0.049996185,520.04,NA,NA,0.43,0.33,0.1,0.089,0,0,0.98,7.32545458677555
"Western Sahara",2015,732,3.58,NA,NA,0.116,0.371841155234657,0.602698080942428,0.0254607638229147,"Western Sahara",0.26249992,NA,NA,NA,0.45,0.41,0.04,0.042,0,0,1.11,NA
"Yemen",2015,887,2.38,NA,NA,0.19,0.517916652734588,0.45351329863317,0.0285700486322414,"Yemen",0.31531603,297.2,0.9795566872,1.27318301586,0.77,0.72,0.05,0.004,0,0,1.02,0.78364534976
"Zambia",2015,894,7.94,NA,NA,0.252,0.566489642535483,0.408484735550793,0.025025621913724,"Zambia",0.13252037,324.46,4.58588371092,5.94671650766,0.92,0.87,0.05,0.121,0,0,0.98,3.668706968736
"Zimbabwe",2015,716,10.96,NA,NA,0.598,0.521946921726343,0.449815233857524,0.0282378444161327,"Zimbabwe",0.039280734,342.99,9.44912835808,10.451886454,0.8,0.74,0.05,0.099,0,0,0.95,7.559302686464
