"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Lesotho",2015,426,7.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,0.471537612654037,0.484044509839985,0.0444178775059776,23.364799,323.52,6.33551333989,6.98805900634,5.068410671912
"Liberia",2015,430,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.529556869194186,0.440197342104094,0.0302457887017201,51.698639,273.71,1.82709478429,2.59536105476,1.461675827432
"Libyan Arab Jamahiriya",2015,434,8.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,0.372054979070103,0.58472197719363,0.0432230437362673,9.27635766818176,NA,NA,NA,NA
"Lithuania",2015,440,13.48,"Lithuania",0,0,0,262.45345050269,182648,266.07,4824,13.48,1.01377977500537,13.6657513670724,89.8,0.203785811732606,0.609379263301501,0.186834924965894,0.18440247,523.24,NA,NA,13.6657513670724
"Luxembourg",2015,442,13.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8,0.223672605397777,0.63644381725172,0.139883577350503,0.200718699596004,508.88,NA,NA,NA
"Macao Special Administrative Region of China",2015,446,11.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4,0.17640206357131,0.7375603261774,0.0860376102512897,3.4615097,561.9,NA,NA,NA
"Madagascar",2015,450,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.527992803736775,0.443667783517916,0.0283394127453084,25.195679,367.58,2.41470138112,3.22111197184,1.931761104896
"Malawi",2015,454,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,0.559350102435693,0.410602094240838,0.0300478033234692,37.856461,322.77,3.7188892972,4.33558952904,2.97511143776
"Malaysia",2015,458,11.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3,0.343957792915797,0.597418363726904,0.0586238433572989,5.4427466,474.05,NA,NA,NA
"Maldives",2015,462,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,0.308795411089866,0.650095602294455,0.0411089866156788,2.2650528,NA,6.768926705,7.2854543196,5.415141364
"Mali",2015,466,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.584563516367778,0.390102058922858,0.0253344247093639,65.728668,170.91,0.59039812125,0.84294333225,0.472318497
"Malta",2015,470,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,0.200374093991115,0.61585223287351,0.183773673135375,5.4968109,498,NA,NA,NA
"Martinique",2015,474,10.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4,0.244882093806686,0.577092511013216,0.178025395180098,3.0999985,NA,NA,NA,NA
"Mauritania",2015,478,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,0.505295369241435,0.463697434794042,0.0310071959645222,46.502411,NA,NA,NA,NA
"Mauritius",2015,480,9.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,0.269032309279987,0.631420179407795,0.0995475113122172,7.6030555,444.73,NA,NA,NA
"Mayotte",2015,175,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,0.520833333333333,0.441666666666667,0.0375,32.3331481691467,NA,NA,NA,NA
"Mexico",2015,484,9.32,"Mexico",0,0,0,262.45345050269,182648,220.3,5651,9.32,0.83938694491556,7.82308632661302,35.7,0.368141081191425,0.567043670068143,0.0648152487404316,5.0788517,443.36,NA,NA,7.82308632661302
"Micronesia (Federated States of)",2015,583,9.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,0.46551724137931,0.491379310344828,0.0431034482758621,9,NA,NA,NA,NA
"Mongolia",2015,496,10.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9,0.364631975005879,0.59653307353781,0.0388349514563107,1.5768814,438.28,NA,NA,NA
"Montenegro",2015,499,11.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.2,0.251034702324101,0.609996816300541,0.138968481375358,1.1528168,441.38,NA,NA,NA
"Morocco",2015,504,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,0.361612440700077,0.574422660831736,0.0639648984681871,26.249992,380.75,2.60999383032,2.89617736524,2.087995064256
"Mozambique",2015,508,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,0.560119532153721,0.408551475943619,0.0313289919026606,41.652786,322.74,1.11999898116,1.49629493445,0.895999184928
"Myanmar",2015,104,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,0.371228804018029,0.575586121617135,0.0531850743648361,24.448799,NA,5.13372856536,5.65411134012,4.106982852288
"Namibia",2015,516,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0.480169854881267,0.48503463060686,0.0347955145118734,8.4727325,325.14,7.28760663639,7.84156308726,5.830085309112
"Nepal",2015,524,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,0.438975794098045,0.506265200657401,0.0547590052445539,32.091568,189.48,3.96527467618,4.4600684738,3.172219740944
"Netherlands",2015,528,12.42,"Netherlands",0,0,0,262.45345050269,182648,283.69,4741,12.42,1.0809154898007,13.4249703833247,76.4,0.227168875638339,0.593629896389881,0.17920122797178,0.401437399192008,530.27,NA,NA,13.4249703833247
"New Caledonia",2015,540,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,0.306577480490524,0.596060943887031,0.0973615756224452,2.1999969,NA,NA,NA,NA
"New Zealand",2015,554,13.52,"New Zealand",0,0,0,262.45345050269,182648,281.16,5560,13.52,1.07127568512237,14.4836472628545,82.8,0.268820699518918,0.584709400598102,0.14646989988298,0.200718699596004,492.69,NA,NA,14.4836472628545
"Nicaragua",2015,558,6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,0.399625104822665,0.549517404673036,0.0508574905042998,17.385452,365.66,5.58785991462,5.81411682012,4.470287931696
"Niger",2015,562,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.605307866298065,0.369268660467454,0.025423473234481,69.439606,147.45,0.37519115205,0.54049975005,0.30015292164
"Nigeria",2015,566,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,0.544078930665221,0.428559049529257,0.0273620198055213,37.98399,NA,2.72812331475,4.27826990025,2.1824986518
"Norway",2015,578,13.1,"Norway",0,0,0,262.45345050269,182648,279.45,4630,13.1,1.06476024401567,13.9483591966053,78.9,0.242442307692308,0.594519230769231,0.163038461538462,0.200718699596004,530.48,NA,NA,13.9483591966053
"Occupied Palestinian Territory",2015,275,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,0.515023484247325,0.455229802474961,0.0297467132777146,3.053477,400.62,NA,NA,NA
"Oman",2015,512,9.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,0.277879646607768,0.698973638463553,0.0231467149286786,5.2084694,414.85,NA,NA,NA
"Pakistan",2015,586,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,0.452323272857837,0.502829640737533,0.0448470864046297,40.86795,367.83,2.67423781636,3.10400805156,2.139390253088
"Panama",2015,591,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,0.36511815387716,0.55932886582355,0.0755529802992896,4.5881882,368.96,NA,NA,NA
"Papua New Guinea",2015,598,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,0.470153682961017,0.493389233353117,0.0364570836858655,38.400002,NA,3.87309835184,5.14504740118,3.098478681472
"Paraguay",2015,600,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,0.404377099305629,0.535418957388803,0.0602039433055685,5.2580414,366.83,NA,NA,NA
"Peru",2015,604,10.22,"Peru",0,0,0,262.45345050269,182648,193.22,6603,10.22,0.736206743062117,7.52403291409484,66.8,0.367461412695327,0.564287740344011,0.0682508469606622,5.7765274,419.49,9.46682996644,9.77687898138,7.52403291409484
"Philippines",2015,608,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,0.42277210008297,0.531511861554251,0.0457160383627791,1.8174515,367.48,8.84009814006,9.24018878862,7.072078512048
"Poland",2015,616,13.04,"Poland",0,0,0,262.45345050269,182648,265.77,8302,13.04,1.01263671516209,13.2047827657136,90.1,0.201715504354098,0.642156350293235,0.156128145352666,0.200718699596004,528.84,NA,NA,13.2047827657136
"Portugal",2015,620,9.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3,0.193476236644812,0.599109174162211,0.207414589192977,3.8624115,525.21,NA,NA,NA
"Puerto Rico",2015,630,12.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,0.261649428415895,0.593304300489929,0.145046271094175,7.6100006,396.29,NA,NA,NA
"Qatar",2015,634,9.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,0.179301172772337,0.809817434409382,0.0108813928182807,6.6953659,438.9,NA,NA,NA
"Republic of Korea",2015,410,12.9,"Republic of Korea",0,0,0,262.45345050269,182648,270.85,6097,12.9,1.0319925285083,13.3127036177571,88.6,0.201708296763685,0.668623637039321,0.129668066196994,0.608500357980093,607.23,NA,NA,13.3127036177571
"Republic of Moldova",2015,498,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,0.216901547012961,0.683710863523451,0.0993875894635874,0.75089645,443.29,11.13967890546,11.14524842284,8.911743124368
"Reunion",2015,638,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,0.321056289089646,0.575515404215891,0.103428306694464,5.64068932760919,NA,NA,NA,NA
"Romania",2015,642,11.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7,0.208929766391113,0.621058510397432,0.170011723211456,1.1555023,469.42,NA,NA,NA
"Russian Federation",2015,643,10.87,"Russian Federation",0,0,0,262.45345050269,182648,275.36,3453,10.87,1.04917652815229,11.4045488610153,92.9,0.21233682609865,0.652776918698515,0.134886255202835,0.230494594398672,551.63,NA,NA,11.4045488610153
"Rwanda",2015,646,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.90000000000001,0.511816915217503,0.460085659734764,0.0280974250477321,26.784409,NA,3.3570238692,3.82737611352,2.68561909536
"Saint Lucia",2015,662,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,0.287810383747178,0.618510158013544,0.0936794582392777,9,NA,NA,NA,NA
"Saint Vincent and the Grenadines",2015,670,10.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,0.335159817351598,0.591780821917808,0.0730593607305936,9,NA,NA,NA,NA
"Samoa",2015,882,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,0.478844169246646,0.468008255933953,0.0531475748194014,0.90422821,NA,NA,NA,NA
"Sao Tome and Principe",2015,678,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,0.541411042944785,0.428425357873211,0.0301635991820041,7.1833572,NA,3.51605096856,4.23232937244,2.812840774848
"Saudi Arabia",2015,682,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,0.334158360931088,0.635307166965092,0.0305344721038204,4.6713715,375.6,NA,NA,NA
"Senegal",2015,686,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,0.535442953468189,0.434615127845651,0.0299419186861606,48.099579,319.54,1.9813426779,2.31504685554,1.58507414232
"Serbia",2015,688,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,0.227592207557404,0.609326975230519,0.163080817212077,1.50359349798003,512.22,NA,NA,NA
"Seychelles",2015,690,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,0.279317697228145,0.638592750533049,0.082089552238806,4.1322937,360.57,NA,NA,NA
"Sierra Leone",2015,694,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.536258513739414,0.438721799317519,0.0250196869430667,56.793671,NA,1.5349752183,1.7306519471,1.22798017464
"Singapore",2015,702,12.64,"Singapore",0,0,0,262.45345050269,182648,254.99,4960,12.64,0.971562764793548,12.2805533469904,80.4,0.218761854869303,0.664378488718681,0.116859656412017,2.894453,619.17,NA,NA,12.2805533469904
"Slovakia",2015,703,13.25,"Slovakia",0,0,0,262.45345050269,182648,273.92,5230,13.25,1.04368984090454,13.8288903919852,91.2,0.206147849907157,0.653282591509937,0.140569558582906,0.200718699596004,495.32,NA,NA,13.8288903919852
"Slovenia",2015,705,12.2,"Slovenia",0,0,0,262.45345050269,182648,255.31,4960,12.2,0.97278202862638,11.8679407492418,81.8,0.192876765145308,0.626777194081642,0.180346040773049,0.30000305,518.04,NA,NA,11.8679407492418
"Solomon Islands",2015,90,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,0.502894109635683,0.462717058222676,0.0343888321416411,9,NA,NA,NA,NA
"Somalia",2015,706,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,0.577184151865967,0.395944488387143,0.0268713597468901,62.25,NA,NA,NA,NA
"South Africa",2015,710,10.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,0.386433394165535,0.562751520654311,0.0508150851801544,9.2927055,374.06,8.66473670619,9.73491754774,6.931789364952
"South Sudan",2015,728,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.530686285238091,0.434608035421174,0.0347056793407352,65.477242,NA,NA,NA,NA
"Spain",2015,724,11.47,"Spain",0,0,0,262.45345050269,182648,251.32,5585,11.47,0.957579332710751,10.9834349461923,59.8,0.194276452762846,0.616949510537137,0.188774036700016,1.7232437,504.83,NA,NA,10.9834349461923
"Sri Lanka",2015,144,10.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,0.32226401247592,0.584736311009613,0.0929996765144675,8.0025072,292.3,NA,NA,NA
"Sudan",2015,729,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9,0.52423860528066,0.441201359111247,0.0345600356080936,25.8591927498123,NA,NA,NA,NA
"Suriname",2015,740,10.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,0.358937285378637,0.574191216338334,0.0668714982830291,5.6167297,NA,NA,NA,NA
"Swaziland",2015,748,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,0.490105390856016,0.478808097657138,0.0310865114868451,11.58062,335.26,8.0023803565,8.6915543225,6.4019042852
"Sweden",2015,752,12.77,"Sweden",0,0,0,262.45345050269,182648,279.93,4080,12.77,1.06658913976492,13.6203433147981,81.6,0.224761104909,0.579257863310016,0.195981031780985,0.200718699596004,509.15,NA,NA,13.6203433147981
"Switzerland",2015,756,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,0.20016106156398,0.619870669968028,0.179968268467992,0.200718699596004,543.83,NA,NA,NA
"Syrian Arab Republic",2015,760,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,0.496159614840593,0.463440280542938,0.0404001046164685,15.0059329236894,390.86,NA,NA,NA
"Taiwan Province of China",2015,158,12.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,0.202396617141689,0.674996060997057,0.122607321861253,2.87817159145408,597.75,NA,NA,NA
"Tajikistan",2015,762,11.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,0.452613480859425,0.514169756371419,0.0332167627691552,0.19999695,NA,9.52618018239,11.2668839487,7.620944145912
"Thailand",2015,764,10.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7,0.250136906495776,0.644219341683659,0.105643751820565,6.6819649,440.25,NA,NA,NA
"The former Yugoslav Republic of Macedonia",2015,807,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4,0.231579453636014,0.643180069257407,0.125240477106579,2.1999969,389,NA,NA,NA
"Timor-Leste",2015,626,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0.564786462530218,0.400644641418211,0.0345688960515713,31.933167,NA,4.33909490784,5.31159022464,3.471275926272
"Togo",2015,768,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,0.522603783251763,0.449500465153905,0.0278957515943319,36.254379,283.23,2.282895153,2.75009230125,1.8263161224
"Tonga",2015,776,11.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,0.475563909774436,0.466165413533835,0.0582706766917293,0.58563232,NA,NA,NA,NA
"Trinidad and Tobago",2015,780,11.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,0.271283634759594,0.634612556976915,0.0941038082634907,1.3000031,438.75,NA,NA,NA
"Tunisia",2015,788,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,0.310308126230642,0.613600482500488,0.0760913912688699,20.490084,384.12,NA,NA,NA
"Turkey",2015,792,9.21,"Turkey",0,0,0,262.45345050269,182648,225.39,4934,9.21,0.85878086025655,7.90937172296283,43.9,0.341053460003373,0.580928459364571,0.0780180806320556,4.0269089,470.39,NA,NA,7.90937172296283
"Turkmenistan",2015,795,10.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8,0.388130478517028,0.57113090961345,0.0407386118695215,0.30000305,NA,NA,NA,NA
"Uganda",2015,800,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.90000000000001,0.594072749194139,0.38418021393305,0.021747036872811,23.472504,329.42,4.03208549484,4.95718228876,3.225668395872
"Ukraine",2015,804,10.98,"Ukraine",0,0,0,262.45345050269,182648,269.06598,NA,10.98,1.02519505643627,11.2566417196703,93,0.197926136236414,0.643217959454195,0.158855904309391,0.025650024,478.3,NA,NA,11.2566417196703
"United Arab Emirates",2015,784,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4,0.173763901330595,0.81601083702943,0.0102252616399747,6.7728577,460.49,NA,NA,NA
"United Kingdom of Great Britain and Northern Ireland",2015,826,13.26,"United Kingdom of Great Britain and Northern Ireland",0,0,0,262.45345050269,182648,273.42,8392,13.26,1.04178474116574,13.8140656678577,74.2,0.23359849770772,0.585175262335343,0.181226239956938,0.200718699596004,515.8,NA,NA,13.8140656678577
"United Republic of Tanzania",2015,834,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,0.556763036244834,0.412138150142058,0.0310988136131076,22.11277,352.92,5.0305402345,5.51972194128,4.0244321876
"United States of America",2015,840,12.89,"United States of America",0,0,0,262.45345050269,182648,270.29,4659,12.89,1.02985881680085,13.2748801485629,89.7,0.258714413072807,0.594872006471885,0.146413580455308,0.200718699596004,529.09,NA,NA,13.2748801485629
"United States Virgin Islands",2015,850,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,0.270218839200761,0.555661274976213,0.174119885823026,9,NA,NA,NA,NA
"Uruguay",2015,858,9.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0.289302677973016,0.566366523880293,0.144330798146691,1.3987694,445.45,NA,NA,NA
"Uzbekistan",2015,860,11.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,0.371153988940146,0.586530608291985,0.042315402767869,0.012235005,NA,NA,NA,NA
"Vanuatu",2015,548,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,0.463165848129958,0.494899886664148,0.0419342652058935,12.49369,NA,NA,NA,NA
"Venezuela (Bolivarian Republic of)",2015,862,10.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,0.37138134668464,0.566050452532255,0.0625682007831055,3.1338463,422.71,NA,NA,NA
"Viet Nam",2015,704,8.08,"Viet Nam",0,0,0,262.45345050269,182648,237.94441,NA,8.08,0.906615666680142,7.32545458677555,22.9,0.305523942641529,0.627036361440865,0.0674396959176062,4.9996185,520.04,NA,NA,7.32545458677555
"Western Sahara",2015,732,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,0.371841155234657,0.602698080942428,0.0254607638229147,NA,NA,NA,NA,NA
"World",2015,900,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,0.341882292885881,0.575238942848136,0.082878764265983,NA,NA,NA,NA,NA
"Yemen",2015,887,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.517916652734588,0.45351329863317,0.0285700486322414,31.734136537265,297.2,0.9795566872,1.27318301586,0.78364534976
"Zambia",2015,894,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,0.566489642535483,0.408484735550793,0.025025621913724,13.252037,324.46,4.58588371092,5.94671650766,3.668706968736
"Zimbabwe",2015,716,10.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,0.521946921726343,0.449815233857524,0.0282378444161327,13.861935,342.99,9.44912835808,10.451886454,7.559302686464
